timestamp,forecast,model_name,lower_bound,upper_bound
2026-04-01,222125222.54849362,ets,215243922.14466193,229006522.9523253
2026-05-01,219316051.0066804,ets,212434750.6028487,226197351.4105121
2026-06-01,200707424.67177907,ets,193826124.26794738,207588725.07561076
