timestamp,forecast,model_name,lower_bound,upper_bound
2026-04-01,203811609.82,seasonal_naive,185945377.28045848,221677842.3595415
2026-05-01,198972907.46,seasonal_naive,181106674.9204585,216839139.99954152
2026-06-01,181912066.77,seasonal_naive,164045834.2304585,199778299.30954152
2026-07-01,177445500.42,seasonal_naive,159579267.88045847,195311732.9595415
2026-08-01,173575251.81,seasonal_naive,155709019.2704585,191441484.34954152
2026-09-01,179358672.04,seasonal_naive,161492439.50045848,197224904.5795415
2026-10-01,212600439.1,seasonal_naive,194734206.56045848,230466671.6395415
2026-11-01,225262299.9,seasonal_naive,207396067.3604585,243128532.43954152
2026-12-01,253950729.74,seasonal_naive,236084497.2004585,271816962.27954155
2027-01-01,261594862.15,seasonal_naive,243728629.6104585,279461094.6895415
